Monthly rainfall(in mm) trends for Sikar from 01-Jan-1901 to 20-Sep-2021

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Sep-1976",57.8,60.87
"Oct-1976",7,0
"Nov-1976",3.1,2.24
"Dec-1976",3,0
"Jan-1977",6.9,18.72
"Feb-1977",8.4,1.08
"Mar-1977",3.7,0
"Apr-1977",3.5,12.61
"May-1977",20.2,32.72
"Jun-1977",41.5,122.7
"Jul-1977",172.9,393.6
"Aug-1977",137.5,216.48
"Sep-1977",57.8,159.23
"Oct-1977",7,1.69
"Nov-1977",3.1,0
"Dec-1977",3,0
"Jan-1978",6.9,0.03
"Feb-1978",8.4,27.01
"Mar-1978",3.7,4.43
"Apr-1978",3.5,8.43
"May-1978",20.2,0
"Jun-1978",41.5,70.59
"Jul-1978",172.9,476.56
"Aug-1978",137.5,138.36
"Sep-1978",57.8,59.39
"Oct-1978",7,1.12
"Nov-1978",3.1,2.38
"Dec-1978",3,0.54
"Jan-1979",6.9,18.93
"Feb-1979",8.4,37.97
"Mar-1979",3.7,0.51
"Apr-1979",3.5,1.76
"May-1979",20.2,6.97
"Jun-1979",41.5,15.5
"Jul-1979",172.9,135.25
"Aug-1979",137.5,52.54
"Sep-1979",57.8,17.92
"Oct-1979",7,0.99
"Nov-1979",3.1,8.8
"Dec-1979",3,0.67
"Jan-1980",6.9,2.46
"Feb-1980",8.4,0.22
"Mar-1980",3.7,14.84
"Apr-1980",3.5,0.1
"May-1980",20.2,7.59
"Jun-1980",41.5,72.31
"Jul-1980",172.9,253.29
"Aug-1980",137.5,58.31
"Sep-1980",57.8,13.1
"Oct-1980",7,0.52
"Nov-1980",3.1,4.98
"Dec-1980",3,24.08
"Jan-1981",6.9,8.43
"Feb-1981",8.4,1.61
"Mar-1981",3.7,6.62
"Apr-1981",3.5,0.02
"May-1981",20.2,17.31
"Jun-1981",41.5,18.3
"Jul-1981",172.9,313.13
"Aug-1981",137.5,73.52
"Sep-1981",57.8,16.64
"Oct-1981",7,0
"Nov-1981",3.1,31.89
"Dec-1981",3,0
"Jan-1982",6.9,49.89
"Feb-1982",8.4,14.25
"Mar-1982",3.7,18.37
"Apr-1982",3.5,21.49
"May-1982",20.2,83.95
"Jun-1982",41.5,15.47
"Jul-1982",172.9,124.46
"Aug-1982",137.5,132.85
"Sep-1982",57.8,4.48
"Oct-1982",7,13.75
"Nov-1982",3.1,4.26
"Dec-1982",3,8.55
"Jan-1983",6.9,7.7
"Feb-1983",8.4,3.89
"Mar-1983",3.7,0.11
"Apr-1983",3.5,35.6
"May-1983",20.2,84.73
"Jun-1983",41.5,47.42
"Jul-1983",172.9,260.11
"Aug-1983",137.5,164.01
"Sep-1983",57.8,75.28
"Oct-1983",7,13.15
"Nov-1983",3.1,0
"Dec-1983",3,0.04
"Jan-1984",6.9,0
"Feb-1984",8.4,2.6
"Mar-1984",3.7,0
"Apr-1984",3.5,0.43
"May-1984",20.2,0.02
"Jun-1984",41.5,16.99
"Jul-1984",172.9,97.87
"Aug-1984",137.5,92.33
"Sep-1984",57.8,124.56
"Oct-1984",7,0.06
"Nov-1984",3.1,0
"Dec-1984",3,0
"Jan-1985",6.9,0.89
"Feb-1985",8.4,0.15
"Mar-1985",3.7,0.45
"Apr-1985",3.5,2.9
"May-1985",20.2,2.75
"Jun-1985",41.5,39.56
"Jul-1985",172.9,235.21
"Aug-1985",137.5,123.62
"Sep-1985",57.8,16.24
"Oct-1985",7,36.65
"Nov-1985",3.1,0.75
"Dec-1985",3,11.85
"Jan-1986",6.9,9.58
"Feb-1986",8.4,35.27
"Mar-1986",3.7,3.19
"Apr-1986",3.5,0.48
"May-1986",20.2,48.19
"Jun-1986",41.5,48.05
"Jul-1986",172.9,118.57
"Aug-1986",137.5,84.14
"Sep-1986",57.8,29.47
"Oct-1986",7,7.08
"Nov-1986",3.1,0
"Dec-1986",3,0
"Jan-1987",6.9,21.51
"Feb-1987",8.4,8.88
"Mar-1987",3.7,8.5
"Apr-1987",3.5,0.01
"May-1987",20.2,61.07
"Jun-1987",41.5,22.71
"Jul-1987",172.9,36.59
"Aug-1987",137.5,95.77
"Sep-1987",57.8,6.84
"Oct-1987",7,0
"Nov-1987",3.1,0
"Dec-1987",3,5.18
"Jan-1988",6.9,1.91
"Feb-1988",8.4,4.52
"Mar-1988",3.7,17.2
"Apr-1988",3.5,1.7
"May-1988",20.2,1.79
"Jun-1988",41.5,99.98
"Jul-1988",172.9,207.06
"Aug-1988",137.5,168.74
"Sep-1988",57.8,104.58
"Oct-1988",7,0.07
"Nov-1988",3.1,0
"Dec-1988",3,2.36
"Jan-1989",6.9,8.38
"Feb-1989",8.4,0
"Mar-1989",3.7,1.06
"Apr-1989",3.5,0.25
"May-1989",20.2,1.18
"Jun-1989",41.5,45.15
"Jul-1989",172.9,95.97
"Aug-1989",137.5,149.05
"Sep-1989",57.8,8.04
"Oct-1989",7,0
"Nov-1989",3.1,0.13
"Dec-1989",3,1.78
"Jan-1990",6.9,0
"Feb-1990",8.4,76.59
"Mar-1990",3.7,2.84
"Apr-1990",3.5,3.86
"May-1990",20.2,14.56
"Jun-1990",41.5,44.17
"Jul-1990",172.9,142.31
"Aug-1990",137.5,80.81
"Sep-1990",57.8,64.35
"Oct-1990",7,7.53
"Nov-1990",3.1,3.49
"Dec-1990",3,3.02
"Jan-1991",6.9,0.01
"Feb-1991",8.4,2.14
"Mar-1991",3.7,0.81
"Apr-1991",3.5,12.27
"May-1991",20.2,16.75
"Jun-1991",41.5,23.54
"Jul-1991",172.9,104.88
"Aug-1991",137.5,134.05
"Sep-1991",57.8,14.86
"Oct-1991",7,1.63
"Nov-1991",3.1,5.77
"Dec-1991",3,4.3
"Jan-1992",6.9,21.83
"Feb-1992",8.4,3.39
"Mar-1992",3.7,2.54
"Apr-1992",3.5,0.05
"May-1992",20.2,8.4
"Jun-1992",41.5,16.95
"Jul-1992",172.9,193.63
"Aug-1992",137.5,197.09
"Sep-1992",57.8,64.2
"Oct-1992",7,15.13
"Nov-1992",3.1,13.61
"Dec-1992",3,2.82
"Jan-1993",6.9,1.06
"Feb-1993",8.4,13.66
"Mar-1993",3.7,2.97
"Apr-1993",3.5,4.75
"May-1993",20.2,4.23
"Jun-1993",41.5,83.24
"Jul-1993",172.9,196.47
"Aug-1993",137.5,73.01
"Sep-1993",57.8,71.19
"Oct-1993",7,1.39
"Nov-1993",3.1,0
"Dec-1993",3,0.07
"Jan-1994",6.9,25.49
"Feb-1994",8.4,1.98
"Mar-1994",3.7,1.76
"Apr-1994",3.5,11.58
"May-1994",20.2,6.02
"Jun-1994",41.5,74.85
"Jul-1994",172.9,221.26
"Aug-1994",137.5,123.79
"Sep-1994",57.8,30.78
"Oct-1994",7,0.01
"Nov-1994",3.1,0
"Dec-1994",3,0
"Jan-1995",6.9,20.54
"Feb-1995",8.4,4.94
"Mar-1995",3.7,9.66
"Apr-1995",3.5,0.89
"May-1995",20.2,0.2
"Jun-1995",41.5,41.43
"Jul-1995",172.9,196.28
"Aug-1995",137.5,400.33
"Sep-1995",57.8,64.99
"Oct-1995",7,0.37
"Nov-1995",3.1,0
"Dec-1995",3,0
"Jan-1996",6.9,4.39
"Feb-1996",8.4,8.72
"Mar-1996",3.7,3.21
"Apr-1996",3.5,7.06
"May-1996",20.2,25.87
"Jun-1996",41.5,310.52
"Jul-1996",172.9,99.05
"Aug-1996",137.5,188.03
"Sep-1996",57.8,112.09
"Oct-1996",7,23.25
"Nov-1996",3.1,0
"Dec-1996",3,0
"Jan-1997",6.9,1.15
"Feb-1997",8.4,0.59
"Mar-1997",3.7,3.19
"Apr-1997",3.5,14.85
"May-1997",20.2,27.76
"Jun-1997",41.5,46.55
"Jul-1997",172.9,102.65
"Aug-1997",137.5,165.11
"Sep-1997",57.8,46.11
"Oct-1997",7,142.27
"Nov-1997",3.1,7.27
"Dec-1997",3,8.56
"Jan-1998",6.9,0
"Feb-1998",8.4,6.52
"Mar-1998",3.7,8.67
"Apr-1998",3.5,3.83
"May-1998",20.2,10.74
"Jun-1998",41.5,50.7
"Jul-1998",172.9,148.61
"Aug-1998",137.5,89.25
"Sep-1998",57.8,99.52
"Oct-1998",7,51.21
"Nov-1998",3.1,8.39
"Dec-1998",3,0
"Jan-1999",6.9,4.59
"Feb-1999",8.4,6.45
"Mar-1999",3.7,0.01
"Apr-1999",3.5,0.51
"May-1999",20.2,17.19
"Jun-1999",41.5,37.72
"Jul-1999",172.9,124.65
"Aug-1999",137.5,59.66
"Sep-1999",57.8,28.54
"Oct-1999",7,9.24
"Nov-1999",3.1,0
"Dec-1999",3,0.04
"Jan-2000",6.9,1.49
"Feb-2000",8.4,5.24
"Mar-2000",3.7,0.48
"Apr-2000",3.5,2.94
"May-2000",20.2,11.56
"Jun-2000",41.5,16.68
"Jul-2000",172.9,174.7
"Aug-2000",137.5,69.53
"Sep-2000",57.8,32.19
"Oct-2000",7,0
"Nov-2000",3.1,0.41
"Dec-2000",3,0
"Jan-2001",6.9,3.65
"Feb-2001",8.4,0.05
"Mar-2001",3.7,0.53
"Apr-2001",3.5,22.45
"May-2001",20.2,37.1
"Jun-2001",41.5,105.47
"Jul-2001",172.9,132.52
"Aug-2001",137.5,99.54
"Sep-2001",57.8,4.24
"Oct-2001",7,10.69
"Nov-2001",3.1,0
"Dec-2001",3,0
"Jan-2002",6.9,1.42
"Feb-2002",8.4,17.86
"Mar-2002",3.7,0.08
"Apr-2002",3.5,2.52
"May-2002",20.2,25.71
"Jun-2002",41.5,49.73
"Jul-2002",172.9,4.82
"Aug-2002",137.5,55.49
"Sep-2002",57.8,15.15
"Oct-2002",7,0.02
"Nov-2002",3.1,3.17
"Dec-2002",3,11.6
"Jan-2003",6.9,15.07
"Feb-2003",8.4,20.85
"Mar-2003",3.7,1.87
"Apr-2003",3.5,0
"May-2003",20.2,4.79
"Jun-2003",41.5,65.65
"Jul-2003",172.9,265.93
"Aug-2003",137.5,130.1
"Sep-2003",57.8,49.32
"Oct-2003",7,0.1
"Nov-2003",3.1,0
"Dec-2003",3,4.75
"Jan-2004",6.9,3.98
"Feb-2004",8.4,0
"Mar-2004",3.7,0
"Apr-2004",3.5,5.19
"May-2004",20.2,16.86
"Jun-2004",41.5,25.12
"Jul-2004",172.9,48
"Aug-2004",137.5,198.88
"Sep-2004",57.8,8.51
"Oct-2004",7,27.31
"Nov-2004",3.1,0.24
"Dec-2004",3,0
"Jan-2005",6.9,1.21
"Feb-2005",8.4,16.36
"Mar-2005",3.7,15.56
"Apr-2005",3.5,3.06
"May-2005",20.2,12.35
"Jun-2005",41.5,109.4
"Jul-2005",172.9,201.45
"Aug-2005",137.5,11.81
"Sep-2005",57.8,117.43
"Oct-2005",7,0
"Nov-2005",3.1,0
"Dec-2005",3,0
"Jan-2006",6.9,0
"Feb-2006",8.4,0
"Mar-2006",3.7,20.64
"Apr-2006",3.5,2.2
"May-2006",20.2,53.05
"Jun-2006",41.5,54.93
"Jul-2006",172.9,212.41
"Aug-2006",137.5,38.93
"Sep-2006",57.8,24.03
"Oct-2006",7,2.78
"Nov-2006",3.1,0.31
"Dec-2006",3,3.44
"Jan-2007",6.9,5.32
"Feb-2007",8.4,46.41
"Mar-2007",3.7,27.2
"Apr-2007",3.5,4.07
"May-2007",20.2,9.79
"Jun-2007",41.5,35.65
"Jul-2007",172.9,90.43
"Aug-2007",137.5,89.44
"Sep-2007",57.8,100.67
"Oct-2007",7,0
"Nov-2007",3.1,0
"Dec-2007",3,2.43
"Jan-2008",6.9,0.47
"Feb-2008",8.4,0
"Mar-2008",3.7,0.45
"Apr-2008",3.5,23.95
"May-2008",20.2,70.53
"Jun-2008",41.5,143.6
"Jul-2008",172.9,80.83
"Aug-2008",137.5,164.64
"Sep-2008",57.8,106.93
"Oct-2008",7,0.28
"Nov-2008",3.1,0.51
"Dec-2008",3,0
"Jan-2009",6.9,2.39
"Feb-2009",8.4,0.92
"Mar-2009",3.7,3.43
"Apr-2009",3.5,0.45
"May-2009",20.2,19.32
"Jun-2009",41.5,54.42
"Jul-2009",172.9,63.54
"Aug-2009",137.5,71.95
"Sep-2009",57.8,23.31
"Oct-2009",7,4.57
"Nov-2009",3.1,1.03
"Dec-2009",3,0.1
"Jan-2010",6.9,6.69
"Feb-2010",8.4,6.34
"Mar-2010",3.7,2.78
"Apr-2010",3.5,1.41
"May-2010",20.2,2.37
"Jun-2010",41.5,37.4
"Jul-2010",172.9,214.31
"Aug-2010",137.5,277.93
"Sep-2010",57.8,194.47
"Oct-2010",7,0.4
"Nov-2010",3.1,23.21
"Dec-2010",3,5.81
"Jan-2011",6.9,0
"Feb-2011",8.4,35.32
"Mar-2011",3.7,1.79
"Apr-2011",3.5,3.15
"May-2011",20.2,16.34
"Jun-2011",41.5,101.64
"Jul-2011",172.9,133.5
"Aug-2011",137.5,180.03
"Sep-2011",57.8,131.45
"Oct-2011",7,0
"Nov-2011",3.1,0
"Dec-2011",3,0
"Jan-2012",6.9,0.03
"Feb-2012",8.4,0
"Mar-2012",3.7,0
"Apr-2012",3.5,11.38
"May-2012",20.2,23.9
"Jun-2012",41.5,6.6
"Jul-2012",172.9,122.88
"Aug-2012",137.5,333.99
"Sep-2012",57.8,64.37
"Oct-2012",7,0.98
"Nov-2012",3.1,0
"Dec-2012",3,0.02
"Jan-2013",6.9,4.19
"Feb-2013",8.4,40.29
"Mar-2013",3.7,0.51
"Apr-2013",3.5,1.99
"May-2013",20.2,0.48
"Jun-2013",41.5,37.58
"Jul-2013",172.9,202.43
"Aug-2013",137.5,191.04
"Sep-2013",57.8,58.6
"Oct-2013",7,11.44
"Nov-2013",3.1,7.27
"Dec-2013",3,0
"Jan-2014",6.9,3.93
"Feb-2014",8.4,10.4
"Mar-2014",3.7,18.96
"Apr-2014",3.5,12.36
"May-2014",20.2,8.76
"Jun-2014",41.5,41.82
"Jul-2014",172.9,178.42
"Aug-2014",137.5,123.38
"Sep-2014",57.8,88.81
"Oct-2014",7,5.85
"Nov-2014",3.1,0
"Dec-2014",3,0
"Jan-2015",6.9,8.64
"Feb-2015",8.4,0
"Mar-2015",3.7,51.29
"Apr-2015",3.5,45.49
"May-2015",20.2,13.63
"Jun-2015",41.5,69.68
"Jul-2015",172.9,252.44
"Aug-2015",137.5,107.82
"Sep-2015",57.8,11.04
"Oct-2015",7,9.41
"Nov-2015",3.1,1.69
"Dec-2015",3,0
"Jan-2016",6.9,0
"Feb-2016",8.4,1.59
"Mar-2016",3.7,10.5
"Apr-2016",3.5,0
"May-2016",20.2,19.61
"Jun-2016",41.5,43.12
"Jul-2016",172.9,242.36
"Aug-2016",137.5,183.94
"Sep-2016",57.8,15.78
"Oct-2016",7,19.06
"Nov-2016",3.1,0
"Dec-2016",3,0
"Jan-2017",6.9,22.25
"Feb-2017",8.4,0.34
"Mar-2017",3.7,3.93
"Apr-2017",3.5,0.75
"May-2017",20.2,20.39
"Jun-2017",41.5,98.54
"Jul-2017",172.9,112.52
"Aug-2017",137.5,79.39
"Sep-2017",57.8,29.37
"Oct-2017",7,0
"Nov-2017",3.1,2.34
"Dec-2017",3,2.08
"Jan-2018",6.9,0.09
"Feb-2018",8.4,0.39
"Mar-2018",3.7,0.72
"Apr-2018",3.5,19.07
"May-2018",20.2,6.65
"Jun-2018",41.5,108.18
"Jul-2018",172.9,254.86
"Aug-2018",137.5,92.31
"Sep-2018",57.8,91.64
"Oct-2018",7,0.66
"Nov-2018",3.1,0.56
"Dec-2018",3,1.42
"Jan-2019",6.9,9.21
"Feb-2019",8.4,1.31
"Mar-2019",3.7,1.61
"Apr-2019",3.5,9.03
"May-2019",20.2,17.41
"Jun-2019",41.5,42.85
"Jul-2019",172.9,364.26
"Aug-2019",137.5,214.84
"Sep-2019",57.8,48.61
"Oct-2019",7,8.71
"Nov-2019",3.1,17.74
"Dec-2019",3,6.84
"Jan-2020",6.9,0.39
"Feb-2020",8.4,0.04
"Mar-2020",3.7,37.53
"Apr-2020",3.5,14.99
"May-2020",20.2,24.55
"Jun-2020",41.5,81.55
"Jul-2020",172.9,60.44
"Aug-2020",137.5,199.9
"Sep-2020",57.8,53.98
"Oct-2020",7,0.05
"Nov-2020",3.1,2.62
"Dec-2020",3,0.04
"Jan-2021",0,30.74
"Feb-2021",0,0.04
"Mar-2021",0,6.85
"Apr-2021",0,4.25
"May-2021",0,71.21
"Jun-2021",41.5,37.85
"Jul-2021",172.9,146.72
"Aug-2021",137.5,133.17
"Sep-2021",57.8,138.83
