Monthly rainfall(in mm) trends for Sikar from 01-Jan-1901 to 20-Sep-2021

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Feb-1918",8.4,0
"Mar-1918",3.7,3.1
"Apr-1918",3.5,1.49
"May-1918",20.2,0.15
"Jun-1918",41.5,6.61
"Jul-1918",172.9,27.65
"Aug-1918",137.5,90.59
"Sep-1918",57.8,27.04
"Oct-1918",7,0
"Nov-1918",3.1,1.61
"Dec-1918",3,0
"Jan-1919",6.9,54.88
"Feb-1919",8.4,0.63
"Mar-1919",3.7,0.83
"Apr-1919",3.5,7.99
"May-1919",20.2,13.58
"Jun-1919",41.5,6.01
"Jul-1919",172.9,141.23
"Aug-1919",137.5,248.49
"Sep-1919",57.8,56.72
"Oct-1919",7,0
"Nov-1919",3.1,7.19
"Dec-1919",3,20.56
"Jan-1920",6.9,9.41
"Feb-1920",8.4,1.89
"Mar-1920",3.7,6.73
"Apr-1920",3.5,0.4
"May-1920",20.2,38.56
"Jun-1920",41.5,89.34
"Jul-1920",172.9,228.89
"Aug-1920",137.5,22.35
"Sep-1920",57.8,1.93
"Oct-1920",7,0.01
"Nov-1920",3.1,0
"Dec-1920",3,0
"Jan-1921",6.9,8.55
"Feb-1921",8.4,0
"Mar-1921",3.7,0
"Apr-1921",3.5,0.08
"May-1921",20.2,0
"Jun-1921",41.5,15.6
"Jul-1921",172.9,105.81
"Aug-1921",137.5,89.54
"Sep-1921",57.8,32.76
"Oct-1921",7,0.74
"Nov-1921",3.1,0
"Dec-1921",3,2.11
"Jan-1922",6.9,9.34
"Feb-1922",8.4,0.15
"Mar-1922",3.7,0.05
"Apr-1922",3.5,0.77
"May-1922",20.2,12.76
"Jun-1922",41.5,88.53
"Jul-1922",172.9,150.69
"Aug-1922",137.5,51.31
"Sep-1922",57.8,101.29
"Oct-1922",7,0.72
"Nov-1922",3.1,0.01
"Dec-1922",3,16.98
"Jan-1923",6.9,13.04
"Feb-1923",8.4,7.95
"Mar-1923",3.7,0.77
"Apr-1923",3.5,0.27
"May-1923",20.2,3.36
"Jun-1923",41.5,6.82
"Jul-1923",172.9,172.26
"Aug-1923",137.5,151.53
"Sep-1923",57.8,7.62
"Oct-1923",7,0.19
"Nov-1923",3.1,0
"Dec-1923",3,12.92
"Jan-1924",6.9,14.84
"Feb-1924",8.4,7.9
"Mar-1924",3.7,0
"Apr-1924",3.5,0.98
"May-1924",20.2,4.03
"Jun-1924",41.5,12.72
"Jul-1924",172.9,101.17
"Aug-1924",137.5,274.24
"Sep-1924",57.8,246.67
"Oct-1924",7,21.9
"Nov-1924",3.1,4.97
"Dec-1924",3,30.03
"Jan-1925",6.9,0.74
"Feb-1925",8.4,0
"Mar-1925",3.7,0
"Apr-1925",3.5,0
"May-1925",20.2,5.48
"Jun-1925",41.5,139.25
"Jul-1925",172.9,172.48
"Aug-1925",137.5,40.45
"Sep-1925",57.8,4.55
"Oct-1925",7,4.51
"Nov-1925",3.1,21.51
"Dec-1925",3,0
"Jan-1926",6.9,10.42
"Feb-1926",8.4,0.9
"Mar-1926",3.7,29.54
"Apr-1926",3.5,0.38
"May-1926",20.2,23.65
"Jun-1926",41.5,10.67
"Jul-1926",172.9,150.68
"Aug-1926",137.5,247.22
"Sep-1926",57.8,76.98
"Oct-1926",7,0
"Nov-1926",3.1,0
"Dec-1926",3,0
"Jan-1927",6.9,0
"Feb-1927",8.4,14.69
"Mar-1927",3.7,0.3
"Apr-1927",3.5,2.81
"May-1927",20.2,6.63
"Jun-1927",41.5,3.61
"Jul-1927",172.9,165.79
"Aug-1927",137.5,128.7
"Sep-1927",57.8,85.6
"Oct-1927",7,5.95
"Nov-1927",3.1,3.83
"Dec-1927",3,39.01
"Jan-1928",6.9,6.36
"Feb-1928",8.4,13.47
"Mar-1928",3.7,0.86
"Apr-1928",3.5,0.42
"May-1928",20.2,1.21
"Jun-1928",41.5,8.66
"Jul-1928",172.9,144.32
"Aug-1928",137.5,136.15
"Sep-1928",57.8,13.19
"Oct-1928",7,30.6
"Nov-1928",3.1,12.42
"Dec-1928",3,4.21
"Jan-1929",6.9,1.97
"Feb-1929",8.4,1.04
"Mar-1929",3.7,0
"Apr-1929",3.5,6.59
"May-1929",20.2,13.66
"Jun-1929",41.5,14.35
"Jul-1929",172.9,288.5
"Aug-1929",137.5,76.18
"Sep-1929",57.8,17.88
"Oct-1929",7,0.07
"Nov-1929",3.1,0
"Dec-1929",3,7.48
"Jan-1930",6.9,16.75
"Feb-1930",8.4,1.92
"Mar-1930",3.7,0.42
"Apr-1930",3.5,0.03
"May-1930",20.2,28.27
"Jun-1930",41.5,66.1
"Jul-1930",172.9,283.75
"Aug-1930",137.5,97.15
"Sep-1930",57.8,6.77
"Oct-1930",7,18.6
"Nov-1930",3.1,0
"Dec-1930",3,0
"Jan-1931",6.9,0.24
"Feb-1931",8.4,1.12
"Mar-1931",3.7,7.89
"Apr-1931",3.5,0.27
"May-1931",20.2,5.96
"Jun-1931",41.5,8.91
"Jul-1931",172.9,172.57
"Aug-1931",137.5,215.28
"Sep-1931",57.8,43.88
"Oct-1931",7,23.16
"Nov-1931",3.1,0
"Dec-1931",3,0.77
"Jan-1932",6.9,0.38
"Feb-1932",8.4,0.04
"Mar-1932",3.7,16.63
"Apr-1932",3.5,13.02
"May-1932",20.2,4.71
"Jun-1932",41.5,33.46
"Jul-1932",172.9,161.18
"Aug-1932",137.5,218.02
"Sep-1932",57.8,17.04
"Oct-1932",7,0
"Nov-1932",3.1,0
"Dec-1932",3,1.33
"Jan-1933",6.9,0
"Feb-1933",8.4,14.19
"Mar-1933",3.7,2.57
"Apr-1933",3.5,10.71
"May-1933",20.2,40
"Jun-1933",41.5,123.98
"Jul-1933",172.9,48.46
"Aug-1933",137.5,222.23
"Sep-1933",57.8,152.85
"Oct-1933",7,5.8
"Nov-1933",3.1,0
"Dec-1933",3,0.3
"Jan-1934",6.9,9.53
"Feb-1934",8.4,0
"Mar-1934",3.7,20.82
"Apr-1934",3.5,1.04
"May-1934",20.2,0.64
"Jun-1934",41.5,149.59
"Jul-1934",172.9,80.59
"Aug-1934",137.5,256.21
"Sep-1934",57.8,27.94
"Oct-1934",7,0
"Nov-1934",3.1,0
"Dec-1934",3,12.67
"Jan-1935",6.9,32.35
"Feb-1935",8.4,9.74
"Mar-1935",3.7,3.55
"Apr-1935",3.5,19.02
"May-1935",20.2,2.35
"Jun-1935",41.5,8.3
"Jul-1935",172.9,180.32
"Aug-1935",137.5,57.27
"Sep-1935",57.8,104.13
"Oct-1935",7,2.7
"Nov-1935",3.1,0.46
"Dec-1935",3,7.36
"Jan-1936",6.9,1.75
"Feb-1936",8.4,3.88
"Mar-1936",3.7,15.39
"Apr-1936",3.5,0
"May-1936",20.2,8.19
"Jun-1936",41.5,108.9
"Jul-1936",172.9,58.48
"Aug-1936",137.5,236.89
"Sep-1936",57.8,86.36
"Oct-1936",7,0.09
"Nov-1936",3.1,7.17
"Dec-1936",3,2.73
"Jan-1937",6.9,0
"Feb-1937",8.4,30.39
"Mar-1937",3.7,1.35
"Apr-1937",3.5,2.25
"May-1937",20.2,2.85
"Jun-1937",41.5,56.03
"Jul-1937",172.9,219.1
"Aug-1937",137.5,25.38
"Sep-1937",57.8,79.79
"Oct-1937",7,2.31
"Nov-1937",3.1,0.11
"Dec-1937",3,4.79
"Jan-1938",6.9,7.2
"Feb-1938",8.4,0
"Mar-1938",3.7,0
"Apr-1938",3.5,0
"May-1938",20.2,2.32
"Jun-1938",41.5,83.02
"Jul-1938",172.9,75.15
"Aug-1938",137.5,46.96
"Sep-1938",57.8,8.8
"Oct-1938",7,3.07
"Nov-1938",3.1,0
"Dec-1938",3,0
"Jan-1939",6.9,1.41
"Feb-1939",8.4,30.41
"Mar-1939",3.7,11.59
"Apr-1939",3.5,0.1
"May-1939",20.2,1.38
"Jun-1939",41.5,69.45
"Jul-1939",172.9,63.55
"Aug-1939",137.5,38.08
"Sep-1939",57.8,12.6
"Oct-1939",7,0.44
"Nov-1939",3.1,0
"Dec-1939",3,0
"Jan-1940",6.9,25.03
"Feb-1940",8.4,35.08
"Mar-1940",3.7,29.93
"Apr-1940",3.5,0.61
"May-1940",20.2,8.91
"Jun-1940",41.5,69.33
"Jul-1940",172.9,101.21
"Aug-1940",137.5,171.2
"Sep-1940",57.8,2.77
"Oct-1940",7,2.46
"Nov-1940",3.1,0.02
"Dec-1940",3,0
"Jan-1941",6.9,16.47
"Feb-1941",8.4,0.58
"Mar-1941",3.7,0.78
"Apr-1941",3.5,0
"May-1941",20.2,23.02
"Jun-1941",41.5,98.26
"Jul-1941",172.9,33.84
"Aug-1941",137.5,81.03
"Sep-1941",57.8,45.11
"Oct-1941",7,1.3
"Nov-1941",3.1,0
"Dec-1941",3,9.94
"Jan-1942",6.9,8.26
"Feb-1942",8.4,18.1
"Mar-1942",3.7,0
"Apr-1942",3.5,8.1
"May-1942",20.2,14.96
"Jun-1942",41.5,36.22
"Jul-1942",172.9,221.54
"Aug-1942",137.5,279.21
"Sep-1942",57.8,181.26
"Oct-1942",7,0
"Nov-1942",3.1,0
"Dec-1942",3,0.42
"Jan-1943",6.9,3.56
"Feb-1943",8.4,0.08
"Mar-1943",3.7,0
"Apr-1943",3.5,12.94
"May-1943",20.2,5.66
"Jun-1943",41.5,37.31
"Jul-1943",172.9,182.5
"Aug-1943",137.5,73.27
"Sep-1943",57.8,119.35
"Oct-1943",7,0
"Nov-1943",3.1,0
"Dec-1943",3,0.03
"Jan-1944",6.9,32.69
"Feb-1944",8.4,14.77
"Mar-1944",3.7,40.52
"Apr-1944",3.5,18.87
"May-1944",20.2,0.7
"Jun-1944",41.5,69.22
"Jul-1944",172.9,142.74
"Aug-1944",137.5,199.27
"Sep-1944",57.8,3.95
"Oct-1944",7,19.44
"Nov-1944",3.1,0.22
"Dec-1944",3,0
"Jan-1945",6.9,24.33
"Feb-1945",8.4,0
"Mar-1945",3.7,0.25
"Apr-1945",3.5,14.05
"May-1945",20.2,22.49
"Jun-1945",41.5,28.26
"Jul-1945",172.9,214.98
"Aug-1945",137.5,138.45
"Sep-1945",57.8,110.35
"Oct-1945",7,0.57
"Nov-1945",3.1,0
"Dec-1945",3,0
"Jan-1946",6.9,0
"Feb-1946",8.4,7.48
"Mar-1946",3.7,0
"Apr-1946",3.5,0.78
"May-1946",20.2,16.77
"Jun-1946",41.5,81.68
"Jul-1946",172.9,129.63
"Aug-1946",137.5,249.15
"Sep-1946",57.8,42.83
"Oct-1946",7,9.36
"Nov-1946",3.1,1.45
"Dec-1946",3,13.66
"Jan-1947",6.9,10.84
"Feb-1947",8.4,8.74
"Mar-1947",3.7,0.24
"Apr-1947",3.5,0
"May-1947",20.2,0.1
"Jun-1947",41.5,4.17
"Jul-1947",172.9,55.4
"Aug-1947",137.5,147.55
"Sep-1947",57.8,266.82
"Oct-1947",7,5.25
"Nov-1947",3.1,0
"Dec-1947",3,3.73
"Jan-1948",6.9,66.63
"Feb-1948",8.4,13.65
"Mar-1948",3.7,9.49
"Apr-1948",3.5,0.07
"May-1948",20.2,0.2
"Jun-1948",41.5,6.11
"Jul-1948",172.9,144.93
"Aug-1948",137.5,144.77
"Sep-1948",57.8,30.76
"Oct-1948",7,1.22
"Nov-1948",3.1,0
"Dec-1948",3,0
"Jan-1949",6.9,4.86
"Feb-1949",8.4,3.42
"Mar-1949",3.7,0.02
"Apr-1949",3.5,0
"May-1949",20.2,12.39
